AuthorName,TotalComments
Ken Robinson,1
People Like Us,1
TheRealBigBoyBiggins,1
jebes909090,1
Flat Head,1
WaxPaper,1
Sean Schwifty,1
Sigma The Stigma,1
Andrew Dowdell-Stent,2
Jennifer Stewarts,1
Lochlann Niddrie,1
Ozbully Morales,1
Suren Manatunga,1
Anondalorian,1
Tiddybearkush,4
ONLY YOU CAN STOP EVIL,1
Lucius Vorenus,1
Jens Pi,2
Chris Delisa,1
John Heart,1
Dollar 2.49,1
Atomizer,1
TheSwagateer,1
Capt'n Z Fear,1
M. Tahjul reyhan,1
Noompsie,2
krumme2,1
Fine-Business Operator,1
colappse,1
Max Rob,1
Woodchipper,1
BrianJ720,1
Paul Yearwood,1
Scott Battaglia,1
Thomas Crowe,1
Aelox,1
Yoda Master,1
TheGreatOldOak,1
Skeptic Fucker,1
Phizzhead,3
J D,1
Red Falcon,2
Tyquarryious McBarious,1
Justin Moss,1
EGR,1
Trip 222,1
OnePixelBeyond Studios,1
randomusername,6
C Gar,1
Jéan Leon,1
Jacob Paul Gordon,1
jens en,1
CplUSMCRetired,1
Ryan Jones,1
Oliver Stian Hugaas,1
monique hurley,1
Zombifi3r,1
Arnav Vashisth - MrAryabhatta,1
Bhai,2
Quimper111,1
Domino,1
Murder Cubes,1
RastaGaming,1
Whoami691,2
Chris Raymond,1
kaznats1,1
darryl newman,1
IH8Radio,1
Rebecca Sherman,1
Robbie,4
Shout In the Wind,1
Luke Pence,1
JimFromHR,1
Spencer3 Arthur,1
Raul Carbajal,1
Gonzo Gomel,1
Soronos,1
DJ,1
SeraphimDragon,1
Michael Friscia,1
AE-oxian,2
Tr0llw4ff3n_Division_Germania,2
J B,2
Victor,1
look2much2,1
Jeffrey Calzaloia,1
B F,1
Bob1934,1
Cajun,1
Lipi19821,1
Flair,1
angelslayer456,1
Keskeny út,1
NanaDontDie,1
Rocky Road,1
Brian Baratheon,1
Mr.NoBody,1
VishwakGamingWorld,1
mea <3 ,1
SorryTruth,1
Stephen Kolostyak,1
Haseeb Mir,1
crash6674,2
John Edwards,1
Matt,5
Damien Knight,1
175dell,1
Nevyn s,1
HotNoob,1
M Q,2
JubiTheVille,1
Adam Aim,1
Stef Vans,1
Syed Masroor Hussain,1
Tycho Brahe,1
Sadboy,1
Jeremiah Kivi,1
Justin J Mader,1
l,1
Peace Be Still Gaming,1
Professor Anonymous,1
Xibyth,1
Parent Gamers,1
CW P,1
Brian Kleist,1
Apo Soria,1
MMC CROWNUS,1
Pat McGroin,2
Devin the Developer,1
fred jean-germain,1
alienfire223,1
Robert Weekes,4
J A Breck,2
Z B,1
Alejandro Aguilar,2
JR Williams,1
Fidel!ty,1
Dicky Allen,1
Hippy Dippy Toes,1
buybuydandavis,2
cmmndrblu,2
Ice Fractal,1
Proffessional CBT Chap,1
Stiggs Masta,3
Jim Mooney,1
Pat,1
You Don't Need My Real Name,2
Shaun,1
MrGunBunny13,1
Con Brio,1
Michael Barker,1
John Smith,4
OriginalChannel321,1
BossBabydotONE,1
KreVor,1
Steve Windsurf,1
Sword Coheir,1
Shibbles,1
Twilight King,1
Adrian A,1
Shannon Graves,1
T C,1
Akamu Crimsidae,1
lance862,1
Shaun Daly,1
shadfurman,1
Jose Lopez,1
The Warrior Dad,1
Peter Wookie,1
Sylus,1
Stephen Tichenor,1
K05H,1
Dhalia Rei,1
Hugh Mungus Bungus Fungus,1
Robert Brenner,1
Steve Prestek,1
Simon Sutcliffe,1
speterj,1
Kevin Kim,1
Andy T,1
Mark Murex,1
hillary clinton,1
BlazingOwnager,1
Maple7rees-,1
No Man's Land,1
I am,1
Tosca Alexander,1
David Heller,1
Cecil Price,1
palmtreeleebythesea,1
P F,1
Robert Pollock,1
PokerNick,1
Redsand481,1
dmartk,1
Mohamed Sellamia,1
Zombie 135,1
Tim Jones,1
Fred Fried,2
Ryan Cobb,1
Luís Semedo,1
J L,1
Karah S.,1
NatendoSwitch,1
COCKerel,1
xDuderanch68x,1
Epä Järjestys,10
hatchettwit,1
Allen,1
Modern Prepper,1
yyyames,2
Zogy,1
Rev Bear,1
sinisasub85,1
alastermyst,1
Katherine Wiegand,1
fullthrottlewrx,1
Niever,2
Xion,2
Digimaster 002,1
Attilio Maselli,1
TheViking,1
Alle Adonai,1
Gina Lavender,2
Matt the Mechanic,1
scott barth,1
David Taylor,1
Matthew Jones,1
Steve,1
Crow Magnum Man,1
Sophia V,1
Rogue Ronin,1
S Shaw,1
Masztaar Crackberg,1
𝓟 𝓪 𝓲 𝓷,1
Snapdragon,1
Cap'n Fergus of Appalachia,2
15XGG,1
carroyo911,1
Nicholas Mills,2
The Hairy Yam,1
Shyhalu,3
Conrad James,1
H3ntairican,1
Breeze,1
Zolmaz Zo'Boto,1
T.j. Coggin,1
Darkzeroprojects,2
punyo4u,1
Riezze Rosalie,1
What is the evidence?,1
daltanionwaves,1
Dm fairly1012 On Instagram,1
Jim Nason,1
UruSama,1
DanGToons,1
Inquisitive Nature,1
Playet Player,1
Tom Hogan,1
james allen,2
The Cheshire 2,1
AerisVahnEphelia,7
Adrian Griffin,1
Chris winthers,1
Nestetris,1
Serfdomftw,1
TT OO,1
Gulag Warlord,3
KopaZ,1
Brian Erickson,1
D Wu,2
Max MF,2
Goran Milić,11
slof,1
Sylvo Totem,1
8F,3
BigBlackBohZax,1
PNWBuilder,1
006RZZ,1
george price,1
Brent heltonj,3
Tzvi ben Daniel,1
William James,1
Luna Vega,1
HenroZbro,1
Daedric,1
Christian Knickerbocker,1
jamesderby,1
Names Fake,1
Jason Morgan,1
Sp1der44,1
A1 B2,1
Lokana,1
Blankist Blankophobe,1
From Essassani With Love,1
TheJusticeTVshow,1
Henrietta,1
SquirrellyFries,1
Jason Green,1
Expression of Will,4
Jo Bofa,2
Aphelion,2
Ubu987,2
THINKMACHINE,1
Strange By Nature,1
Stef S.,1
CleverTaco,2
Master of Reality,1
Markku Husa,1
ThatOneGuy WhoDoesThatThing,1
Nathan Stoddard,1
Adeno,1
Joseph Edrington,1
Chris,1
Justin Trudeau,1
Liza Beth,1
Far Cobra,1
Filthy Casual,1
Raven Rose,1
Melinda Grayson,1
Dan Duncker,1
Shadow Hedgehog,2
Cody Garcia,1
Brian Evans,1
Tyler M,6
Bacon Crusader,1
Eric Fisher,1
Flynn217something,1
jordanw2009,1
yaryar,1
Larry Whittington,1
1elk,1
MugenAlt236,1
Spiralblitzful,1
Chuck Fina,1
Everybody’s Darling,1
Power Guy,1
Heathh49008,1
Justin Birtwell,1
Freddie O'Blivion,1
mig Espi,1
Joshua Hernandez,1
JesterBear,1
J. Crizzle,3
Beef,1
Dogmaster,1
M.E. YA4P,1
valeforedark,1
Jimmy Stargel,1
Sonitrok,7
Robert Fortin,2
Glad Johnson,1
73rmin8r,2
Marinus van Zyl ,51
Chris Archer,1
baby squirrelxxoo,1
Matthew Wiegand,1
ninjutsumaster666,1
Peter von Stamer,1
MTG Tin Foil Thaumaturge,1
Situtlab,1
Kyle Rainer,1
MarkedFang,1
J H,1
My2Drumsticks,1
Raider0075,2
Captain Maverick,1
Daniela B,1
James Masters,2
CCon2284,1
Dominico97,1
TAMBO,1
Johnathon Huson,1
mortdeus,1
dillpickle,1
BD Pershing,1
TheyCalledMeT,2
Justin Reinhart,1
noblelies,1
Bigfoot Robot,1
cherubin7th,1
Anton,1
Thomas O'Malley,1
Elias Panayi,3
PetrSojnek,3
Mandy Haworth,1
Brice Mauritz,1
Project ElectricEye,1
El Marty,1
Charles Martinez,1
J Stenberg,1
MadCowCrazy,1
pcliftonjr,1
Anonymous Doggo,1
scott k,1
adrixshadow,1
MrLuckless,1
CB,1
@Bluesmata,1
eschelar,1
Yeah Right,4
Isaac Barnett,1
starrychloe,1
Druhu,1
I loathe people who're still talking after I say hi,1
GrumpyDog,15
Ricky,1
Nate Taylor,2
Timic83tc,1
Nikgy Noyger,1
MadMax1984,1
Edward MacDonald,1
Fordo007,1
Ro b,2
Awootistic,1
victor van grim gamming,1
Outlaw Mustangs,1
Aavarius,1
3rd youtube channel stop deleting me,1
Gerald Couture,1
Aris G,1
Luke Lawrence,1
Chad Sugerman,1
Benito Muscleini,1
SikDubz,1
MadManCrow,2
Jeffrey Mok,1
jitepes,1
Aldiggy2000,1
Nuno Trancoso,1
Mr. Nobody,2
innominata,1
Rektify,1
Woody's Augmented Reality,2
mabs skull,1
Travis Silcox,1
Curtis Smale,2
EverQuest Online,3
Vader,1
Morbius907,1
Lead Magnet,1
BoyKagome,1
HydMonger,1
Orphan Red,1
Monolith,1
AlexReynard,1
Antstrength Stonergains,1
Prich319,1
FreakyDude,2
Hyper Domina,2
ShaneoTheGreat,1
D.J. Krol,1
tele vision,2
Lyze,1
Mohn Jarx,1
Beanie,1
Karen Wk,1
Albert Elizondo,1
WeAre Harbinger,1
Gabriel Garcia,1
Scott O'Nanski,1
Marcus Aurelius,1
LunaBit,1
Tony Farese,1
Daniel Marson,1
Matthew,2
SaintClutch,1
All Waizeright,1
pairodiddle1,1
Mike Sekula,2
Wraith,1
Soundwave Superior,1
lepley80,1
Chance Chopp,1
Dirk D Griffin,1
Footballdesk,1
Pavel Grigortšuk,1
TyPhenirW0LF,1
The-Quiet-One,1
Martian Dawn,1
Drace = LoveWisdomHarmony,1
JeepCherokeeful,2
M S,1
DaFrancc,1
80'S LADY,1
joe hillik,1
PsychoIncarnate,1
Elizabeth Wolfgang,2
Sir Pendelton,1
Ju Ti,1
jameyjacade28,1
RDS,1
Mis-adventure CH,1
No Info Needed,3
Surannhealz,1
BlazingGazelle,1
Theresa Salazar,1
TechWizPC,7
Mike Mitchell,1
the,1
The Great Bloviator,1
David Gonzalez,1
Jason S,1
Garrett Livingood,1
Craig Michael Curtice,2
MagnaSonic3000,1
Delta,1
joey boomer,1
Xelthia vice,1
Donald Love,1
DeludoSui,1
SinuousGrace,1
Charlie Don't Serf,1
jzacman,1
ZchryPlys,1
Phenom Anon,1
Justin L,1
Charlotte Majewski,1
FOOL!!,2
JadeSpider,1
philos4r 0.2,2
concidius,1
Y_ S,1
Uncle Wolf,1
Jason K,1
Massimo the Trog,1
Allen Osborn,1
The Clowning Has Begun,1
Brandon Carroll,1
Eric Wilkinson,1
Foreststrike,2
T N,2
S2,1
Xersys,1
Matrim Cauthon,1
The Omnist Hour,1
Lord Chippydip,1
Me You,2
SkepticalMillenial,1
Smallest Goober,1
Chris Di Dios,1
Sir Zorg,1
P Cochran,1
Anthony Ju,1
Alondro77,5
gdprsn,1
MarkVA71,1
GenericBrand,2
Marc Ouimet,1
Peanut-senpai,1
James Jones,1
Gooner CestLaVie,1
FlashPointParadoX,1
Justin Cavinder,1
Minzimedic,1
Donna Stokes-Manning,2
Aaron Johnson,1
