UserId,replyCount,likeCount,publishedAt,UserName,text,authorChannelId,authorChannelUrl,isReply,isReplyToUserId,isReplyToName
UgxKCLWQGpRAa0dmpg54AaABAg,81,480,2023-01-19T07:22:54Z,Matt Wolfe,"Note: GPT is a free trial. I tried to be clear on that in the video. The free trial is a generous amount of credits that are difficult to use up but, yes, you can use more than the allotted, at which time you have to pay. No need to keep pointing it out in comments. (Yet, I know many will continue to)",UChpleBmo18P08aKCIgti38g,http://www.youtube.com/channel/UChpleBmo18P08aKCIgti38g,0,,
UgxKCLWQGpRAa0dmpg54AaABAg.9l39CEfUO5D9msAyrTqxXC,,1,2023-03-05T08:50:19Z,Nathaniel Whitlock,"@mreflow 

Great video, please make more content like this when you have material and time. Your delivery was a bit fast, it might be a good idea to slightly slow down your cadence. With that said, you covered a ton of interesting topics.

Kudos to you sir! 🦾🤖",UC7uAHBF1KOF05vzfyUfs83Q,http://www.youtube.com/channel/UC7uAHBF1KOF05vzfyUfs83Q,1,UgxKCLWQGpRAa0dmpg54AaABAg,Matt Wolfe
UgxKCLWQGpRAa0dmpg54AaABAg.9l39CEfUO5D9ms28HylcZF,,0,2023-03-05T07:33:06Z,Basavana Gouda,"​@Cambridge Jenkins IV qp
9lp1àa1",UCOh_QaXzaWGjACFFSGPgDGg,http://www.youtube.com/channel/UCOh_QaXzaWGjACFFSGPgDGg,1,UgxKCLWQGpRAa0dmpg54AaABAg,Matt Wolfe
UgxKCLWQGpRAa0dmpg54AaABAg.9l39CEfUO5D9mkeMK39alk,,0,2023-03-02T10:41:53Z,greatmarc Sanchez,"I hope someone give me PayPal ...

@greatmarc  send me any amount pls from phillipines I hope someone will read this  for my dads medicine thank u godbless",UCilqLWuGrOo8PgIS7ttcF1Q,http://www.youtube.com/channel/UCilqLWuGrOo8PgIS7ttcF1Q,1,UgxKCLWQGpRAa0dmpg54AaABAg,Matt Wolfe
UgxKCLWQGpRAa0dmpg54AaABAg.9l39CEfUO5D9mZbDoYe_mF,,0,2023-02-25T18:23:37Z,oryxchannel,"I've been using chatGPT for about a total of 15 hours being a newbie and while I experienced a server error prompt as mentioned (which can be corrected by closing out too many tabs in my browser) I didn't notice a charge. If the comments about the playground (that's bigger and badder) then I apologize. The main strength is to theorize or bounce ideas off the AI that is central to your life goal. The serial rapport I think is going to be a big plus with chat gpt. You're training it but for that specific dialog title, ad infinitum.",UCBsWvi5FLqSjTqk24hYNJIg,http://www.youtube.com/channel/UCBsWvi5FLqSjTqk24hYNJIg,1,UgxKCLWQGpRAa0dmpg54AaABAg,Matt Wolfe
UgxKCLWQGpRAa0dmpg54AaABAg.9l39CEfUO5D9m2y6Lk5atP,,0,2023-02-13T02:08:38Z,Warp Zone,"Wait, is it a hard limit, or just a rate limit? Because on the ""pricing"" page, they act like it's so many tokens per day for the free account. Not a finite amount of tokens, period.",UCVkt1v4Oxujl3xOqz4FQC-w,http://www.youtube.com/channel/UCVkt1v4Oxujl3xOqz4FQC-w,1,UgxKCLWQGpRAa0dmpg54AaABAg,Matt Wolfe
UgxKCLWQGpRAa0dmpg54AaABAg.9l39CEfUO5D9m2lnAktbnh,,0,2023-02-13T00:21:01Z,Steven Dale,I checked and it says my allocation of 417 expired last month and will not let me use it. Seems as I used Dall-E I have sued up my free allocation!,UCOlrP6N9V7Ftg2oJpWOYw1Q,http://www.youtube.com/channel/UCOlrP6N9V7Ftg2oJpWOYw1Q,1,UgxKCLWQGpRAa0dmpg54AaABAg,Matt Wolfe
UgxKCLWQGpRAa0dmpg54AaABAg.9l39CEfUO5D9lyJHo1iY12,,0,2023-02-10T21:27:00Z,Cameron Clare,It’s not you. It’s very much in beta and that’s kinda part of the fun if you’re learning a programming language,UC4b-WqKKO59zkap6sFn7Tqg,http://www.youtube.com/channel/UC4b-WqKKO59zkap6sFn7Tqg,1,UgxKCLWQGpRAa0dmpg54AaABAg,Matt Wolfe
UgxKCLWQGpRAa0dmpg54AaABAg.9l39CEfUO5D9lrD5q0_Qig,,0,2023-02-08T03:18:15Z,小明,~Ai proves that the world's nuclear bombs are fake,UCzLeSE3x3NUT90EALGIiCjQ,http://www.youtube.com/channel/UCzLeSE3x3NUT90EALGIiCjQ,1,UgxKCLWQGpRAa0dmpg54AaABAg,Matt Wolfe
UgxKCLWQGpRAa0dmpg54AaABAg.9l39CEfUO5D9lkbv5G_kVa,,0,2023-02-05T13:49:09Z,babyUFO.,Then remake the video... DUH,UCvOFbKSIte5OG6QWRq91DtQ,http://www.youtube.com/channel/UCvOFbKSIte5OG6QWRq91DtQ,1,UgxKCLWQGpRAa0dmpg54AaABAg,Matt Wolfe
