input,german
India and Japan prime ministers meet in Tokyo,Die Premierminister Indiens und Japans trafen sich in Tokio .
High on the agenda are plans for greater nuclear cooperation .,Pläne für eine stärkere kerntechnische Zusammenarbeit stehen ganz oben auf der Tagesordnung .
India is also reportedly hoping for a deal on defence collaboration between the two nations .,Berichten zufolge hofft Indien darüber hinaus auf einen Vertrag zur Verteidigungszusammenarbeit zwischen den beiden Nationen .
A motorcycle has been seized after it was ridden at 125km / h in a 70km / h zone and through bushland to escape police in the Pilbara .,"Ein Motorrad wurde beschlagnahmt , nachdem der Fahrer es mit 125 km / h in einer 70 km / h Zone und durch Buschland gefahren hatte , um der Polizei in Bilbara zu entkommen ."
Traffic police on patrol in Karratha this morning tried to pull over a blue motorcycle when they spotted it reaching 125km / h as it pulled out of a service station on Bathgate Road .,"Verkehrspolizisten in Karratha versuchten heute morgen , ein blaues Motorrad zu stoppen , nachdem sie es dabei beobachtet hatten , wie es mit 125 km / h eine Tankstelle auf der Bathdate Road verließ ."
"Police say the rider then failed to stop and continued on to Burgess Road before turning into bushland , causing the officers to lose sight of it .","Die Polizei berichtet , dass der Fahrer die Haltesignale dann ignorierte und weiter auf der Burgess Road fuhr , bevor er in das Buschland abbog , wo die Beamten es aus den Augen verloren ."
The motorcycle and a person matching the description of the rider was then spotted at a house on Walcott Way in Bulgarra .,"Das Motorrad sowie eine Person , die der Beschreibung des Fahrers entsprach wurden später bei einem Haus im Walcott Way in Bulgarra gesehen ."
He is due to appear in Karratha Magistrates Court on September 23 .,Er soll am 23. September vor dem Amtsgericht in Karratha erscheinen .
The motorcycle was seized and impounded for three months .,Das Motorrad wurde sichergestellt und für drei Monate beschlagnahmt .
George Webster accused of Nairn and Pitlochry hotel rapes,George Webster wegen Hotelvergewaltigungen in Naim und Pitlochry angeklagt
A man is to stand trial accused of raping women at two hotels .,Ein Mann steht wegen der Vergewaltigung von Frauen in zwei Hotels vor Gericht .
"George Webster , 28 , faced the charges during a hearing at the High Court in Glasgow .","George Webster , 28 , wurde die Anklage bei einer Anhörung von dem Obersten Gericht in Glasgow verlesen ."
"He is alleged to have raped a woman at the Scotland's Hotel in Pitlochry in Perthshire on June 7 , 2013 .","Er wird beschuldigt , am 7. Juni 2013 eine Frau im Scotland' s Hotel in Pitlochry in Perthshire vergewaltigt zu haben ."
"It is claimed Webster attacked her while she was; unconscious , asleep and incapable of giving consent .;","Die Anklage lautet , dass Webster sie angriff , während sie; bewusstlos war , schlief , und kein Einverständnis signalisieren konnte .;"
"Webster is then charged with raping a second woman at the Golf View Hotel in Nairn in the Highlands on May 4 , 2014 .","Webster wird darüber hinaus vorgeworfen , am 4. Mai 2014 eine zweite Frau im Golf View Hotel in Naim im schottischen Hochland vergewaltigt zu haben ."
Judge Lady Rae set a trial date for November 17 at the High Court in Edinburgh .,Richterin Lady Rae setzte den Verhandlungstermin für den 17. November am Obersten Gericht in Edinburgh an .
Reconnecting With the Very American Ideal That Labor Rights Are Human Rights,Rückbesinnung auf das sehr amerikanische Ideal der Arbeitsrechte als Menschenrechte
Congressmen Keith Ellison and John Lewis have proposed legislation to protect union organizing as a civil right .,"Die Kongressabgeordneten Keith Ellison und John Lewis haben einen Gesetzesvorschlag eingebracht , um die Organisation von Gewerkschaften als Bürgerrecht zu etablieren ."
But it in certainly not a radical initiative - at least by American standards .,Aber es ist mit Sicherheit keine radikale Initiative - jedenfalls nicht nach amerikanischen Standards .
"Indeed , the best way to understand what Ellison , Lewis and the cosponsors of their legislation are proposing is as a reconnection with a very American idea .","Tatsächlich ist die beste Art und Weise zum Verständnis dessen , was Ellison , Lewis und die weiteren Sponsoren ihrer Gesetzesvorlage vorschlagen , die Verbindung zurück zu einer sehr amerikanischen Idee ."
"There was a time , within the living memory of millions of Americans , when this country championed democracy , freedom of speech , freedom of the press and the right to organize in the same breath .","Es gab eine Zeit , an die sich Millionen von Amerikanern noch erinnern , als dieses Land Demokratie , Redefreiheit , Pressefreiheit und das Vereinigungsrecht in einem Atemzug nannte ."
Agreements that restrict or seek to impair this right shall be null and void ; measures directed to this end shall be unlawful .,"Vereinbarungen , die dieses Recht einschränken oder darauf abzielen , es zu schmälern sind null und nichtig ; darauf abzielende Maßnahmen sind ungesetzlich ."
"For generations , Americans accepted the basic premise that labor rights are human rights .","Seit Generationen akzeptieren Amerikaner die Grundprämisse , dass Arbeitsrechte Menschenrechte sind ."
"Now , with those rights under assault in America , it is wise , indeed , to recommit to the American ideal that working people must have a right to organize and to make their voices heard in a free and open society .","Nachdem diese Rechte in Amerika unter Beschuss gerieten ist es tatsächlich sehr weise , sich das amerikanische Ideal wieder vor Augen zu führen , demzufolge die arbeitende Bevölkerung das Recht haben muss , sich zu vereinigen und sich in einer freien und offenen Gesellschaft Gehör zu verschaffen ."
As the Reverend Martin Luther King Jr. said fifty years ago :,Wie Pastor Martin Luther King Jr. vor fünfzig Jahren sagte :
History is a great teacher .,Die Geschichte ist ein großartiger Lehrmeister .
Now everyone knows that the labor movement did not diminish the strength of the nation but enlarged it .,"Jetzt wissen alle , dass die Arbeiterbewegung die Stärke der Nation nicht einschränkte , sondern sie vergrößerte ."
"By raising the living standards of millions , labor miraculously created a market for industry and lifted the whole nation to undreamed of levels of production .",Durch die Anhebung des Lebensstandards von Millionen Menschen hat Arbeit auf wundersame Weise einen Markt für die Industrie geschaffen und die gesamte Nation auf unvorstellbare Produktionsniveaus angehoben .
"Those who attack labor forget these simple truths , but history remembers them .","Diejenigen , die die Arbeit angreifen , vergessen diese einfachen Wahrheiten , aber die Geschichte bewahrt sie ."
"History remembers , as should we .","Die Geschichte erinnert sich , und das sollten wir auch tun ."
The formal recognition of labor rights as human rights - and the extension of civil rights protections to prevent discrimination against labor organizing - is long overdue .,Die formelle Anerkennung der Arbeitsrechte als Menschenrechte - und die Erweiterung des Schutzes der Bürgerrechte als Schutz gegen Diskriminierung bei der Schaffung von Arbeitnehmervertretungen - ist längst überfällig .
Keith Ellison and John Lewis are renewing ideals that have historically enlarged America and made real the promise of democracy .,"Keith Ellison und John Lewis erneuern die Ideale , die Amerika in der Vergangenheit groß gemacht haben und das Versprechen von Demokratie einlösten ."
Judge temporarily blocks law that could close all Louisiana abortion clinics,"Richter stoppt zeitweilig Gesetz , dass alle Abtreibungskliniken in Louisiana zur Schließung zwingen könnte"
A U.S. federal judge on Sunday temporarily blocked enforcement of a Louisiana law that advocates say would likely have closed all five abortion clinics in the state .,"Ein US Bundesrichter stoppte am Sonntag vorläufig die Umsetzung eines Gesetzes in Louisiana , von dem Anwälte sagen , dass es vermutlich zur Schließung aller fünf Abtreibungskliniken des Staates geführt hätte ."
"However , the judge's ruling means that for the time being doctors can continue to perform legal abortions while seeking such privileges .","Die Entscheidung des Richters bedeutet jedoch , dass die Ärzte vorläufig weiterhin legal Abtreibungen durchführen können , während sie ein solches Recht beantragen ."
"Plaintiffs will be allowed to operate lawfully while continuing their efforts to obtain privileges ,; Federal Judge John deGravelles wrote in the decision .","Die Kläger können gesetzeskonform weiterarbeiten , während sie sich um die Erlangung dieser Rechte bemühen ,; schrieb Bundesrichter John deGravelles in seinem Urteil ."
A hearing will be scheduled within a month for the judge to make a more permanent ruling on the law .,"Innerhalb eines Monats wird eine Anhörung für den Richter angesetzt , um für das Gesetz eine dauerhaftere Entscheidung herbeizuführen ."
"Abortion rights activists applauded the decision , the latest in a string of rulings against similar measures , saying it would give doctors more time to seek hospital privileges .","Abtreibungsbefürworter begrüßten die Entscheidung , die jüngste in einer Reihe von Urteilen gegen ähnliche Maßnahmen und sagten , dass Ärzte so mehr Zeit gewännen , um Krankenhauseinweisungsrechte zu erlangen ."
It was not immediately clear whether the ruling applied to doctors from the two clinics who were not plaintiffs in the suit and have also applied for admitting privileges .,"Es war nicht unmittelbar klar , ob sich das Urteil auch auf die Ärzte aus den zwei Kliniken erstreckte , die sich der Klage nicht angeschlossen und ebenfalls Einweisungsrechte beantragt hatten ."
"Louisiana is among 11 states that have passed similar laws , with courts recently ruling unconstitutional such measures in Alabama and Mississippi .","Louisiana ist einer von 11 Staaten , die ähnliche Gesetze erlassen haben , wobei Gerichte kürzlich solche Maßnahmen in Alabama und Mississippi für nicht verfassungsgemäß erklärt haben ."
Key parts of a Texas law that would have shuttered most remaining clinics in that state were blocked by a federal judge on Friday .,"Schlüsselstellen eines Gesetzes in Texas , das die meisten der im Staat verbliebenen Kliniken zur Schließung gezwungen hätte , wurden von einem Bundesrichter am Freitag gestoppt ."
"Abortion rights campaigners , along with the American College of Obstetricians and Gynecologists and the American Medical Association , say admitting privileges laws impose medically unnecessary requirements on doctors .","Abtreibungsbefürworter und das American College of Ostretricians and Gynecologists sowie die American Medical Association sagen übereinstimmend , dass Einweisungsrechte von Ärzten unnötige Einschränkungen verlangen ."
