,id,input,highlights,,,,,,,,,,,,,,,,
11483,a6966f0eab000281af83ba0db924927f91e53fe1,"The party-loving girlfriend of footballer Johnny Manziel has come under fire on social media for refusing to give up on going out and enjoying herself now her boyfriend is out of rehab. Manziel and Colleen Crowley were spotted together in public for the first time since he entered rehab when they attended Tuesday night's Texas Rangers game. The pair appear to remain very much an item, but Crowley has been taking heat on Instagram for refusing to give up her wild ways while Manziel was being treated for his unspecified problems. Scroll down for video . Johnny Manziel was spotted at a Texas Rangers game Tuesday night days after leaving rehab . On Tuesday, Crowley posted a video on her Instagram page of the Texan socialite enjoying a drunken night out with friends . Manziel finally re-emerged on the weekend after checking into a  facility on January 28 stating that he wanted to 'be a better family member, friend and teammates.' On Tuesday, Crowley - who has amassed more than 130,000 followers since becoming Johnny Football's girlfriend - posted a video on her Instagram page of the Texan socialite enjoying a drunken night out with friends. The video seemed to enrage a number of followers who voiced their unhappiness that the undergrad at Texas Christian University in Fort Worth, Texas may not be setting the best example to someone straight out of rehab. 'F*** you for putting this up after the money man (Manziel) got out of rehab,' commented one follower. Another concerned commenter added some words of warning. 'Significant others are the #1 reason that people fail outside rehab. If you are in rehab, then you have an addictive personality and the drug councilors will atest that one addiction is as good as another for triggering an addict into relapsing.' Crowley has been taking heat on Instagram for refusing to give up her wild ways while Manziel was being treated for his unspecified problems . The party-loving girlfriend of footballer Johnny Manziel has come under fire on social media for refusing to give up on going out and enjoying herself now her boyfriend is out of rehab . Some other commenters on Crowley's Instagram page are more forgiving. 'It's your life, keep doin you and forget the haters,' writers one supporter. The Cleveland Browns quarterback stayed away from the booze on Tuesday night and was seen sipping nothing stronger than water throughout the game. Manziel's partying had been a topic of conversation since his rookie season began last July, with some worried his drinking was a priority . According to ESPN, Manziel was 'doing great' in rehab, and had the full support of his team. Now comes the real test as offseason workouts with the team will begin next Monday, April 20. Manziel will be forced to compete with Josh McCown for the starting quarterback position, who just signed a $14 million contract with the team that covers the next three seasons. Manziel was joined by his girlfriend Colleen Crowley and sipped water throughout Tuesday night . This after a rookie season in which he saw limited game time and suffered difficult losses in his only two starts. Manziel was no doubt hoping to step out of the spotlight following the end of the Cleveland Browns season last December, but talk soon turned to whether or not the accomplished footballer might have a problem. Especially after one incident last year when, after partying until well past midnight, Manziel, who is suffering from an injured hamstring, skipped out on a Saturday morning team treatment session because he overslept, and in turn was fined by the Browns. Manziel was quick to apologize to the team for his behavior, saying; 'It's about being accountable... instead of looking like a jackass.' And while his season may have been over at that time, many believed Manziel would still tone things down for a bit in the wake of that controversy. The athlete was in treatment for roughly six weeks before being released on Saturday . It was all the more shocking then when he was spotted partying at FDR Lounge at the Delano in Miami over the New Year holiday, alongside the likes of LeBron James and Ryan Phillippe, and then he was seen chugging champagne straight from the bottle while sitting poolside with girlfriend Crowley and some buddies poolside at the Delano. At this point, some in the sports world, chief among them columnist Skip Bayless, began to suggest that the Heisman Trophy winner needed to get help for his drinking. Appearing on ESPN's First Take, Bayless, a noted supporter of Manziel, did not mince words as he made it very clear that in his opinion the former college star needed to deal with his drinking. 'My concern, I repeatedly said, was if Johnny continues to demonstrate that he has a problem with alcohol, and a problem with alcohol leading to partying and all that that entails, then I'm going to be out,' said Bayless. 'In talking to people in and around the Cleveland Browns, I believe Johnny Manziel continues to have a problem with alcohol. And I believe ... that it is time for Johnny to get some help. Manziel while the 2013 Heisman Trophy as the quarterback of the Texas A&M University Aggies . 'He continues to lie to his executives, to his coaches, to his teammates, to the media, and most of all, he continues to lie to himself.' He then said he would label Manziel an 'alcoholic.' Manziel was known for his partying while at Texas A&M, but said he was a changed man during the 2014 NFL Draft, noting that he had 'grown up,' before being selected 22nd overall by Cleveland. Just days into his training with the Browns however, the local press began calling him out on his partying, which they cited as the major reason for his poor performance on the field. A source told Cleveland.com at the time; 'Team officials had bought into Manziel's pre-draft promises to tone down the partying and leave his frat-boy lifestyle back in College Station, Texas, and they've been stunned by his non-stop antics.'","Colleen Crowley, the party-loving girlfriend of footballer Johnny Manziel, has come under fire on social media for refusing to give up going out .
The Cleveland Browns quarterback entered rehab in January and only left on Saturday .
On Tuesday, Crowley posted a video on her Instagram page of the Texan socialite enjoying a drunken night out with friends .
'Significant others are the #1 reason that people fail outside rehab,' warned one commenter offering some words of wisdom .",,,,,,,,,,,,,,,,
10943,47609113b2709b46ccafb3782980cd3da7ab7d2d,"The mother of a baby born with deformed hands and feet in China is pleading for her husband to come home – four months after he told her he was going out to earn money for the girl's surgery. Worried Jiang Min says she has now run out of cash and can't even afford food, let alone medical treatment, for baby Mengyu and their older daughter. She told People's Daily Online: 'Doctors said it's best for Mengyu to have her operation between the age of four to six months. 'But she is now six-and-a-half months and we simply do not have the money for her to have the operation - and her hands have started to fester.' Desperate plight: Jiang Min. pictured with her daughter Mengyu, hasn't seen her husband for months . The family's plight has attracted the attention of local media in Binzhou City, who have cruelly compared Mengyu's webbed hands and feet to 'pigs' trotters'. Her father, who has not been named, left the family home in Lao Jun Tang Village in Shandong Province at the start of the year - telling them he was heading to Binzhou City to find work. He has not been heard from since. Little Mengyu's hands are severely deformed and doctors have recommended corrective surgery . Her feet are webbed, and local reporters have cruelly dubbed the deformed extremities as 'trotters' His wife phoned a restaurant where he previously worked but was told he had left his job a while ago. She says she can't understand why her husband has disappeared, as they had been happily married for more than a decade. The couple's oldest daughter is aged ten. A local charity has offered to pay for Mengyu's basic medical care after hearing about her from local news sources - and she is being tended to at a hospital near her home. In need of surgery: Baby Mengyu is receiving basic medical treatment that is being paid for by a charity . Doing her best: Mum Jiang Min looks after Mengyu at home but is struggling to pay for even food . Distraught: Jiang Min breaks down while telling Chinese reporters about her dire situation. She says she can't understand why she hasn't heard from her husband - pictured with her on their wedding day a decade ago . Jiang said Mengyu's father took her to a local hospital soon after she was born but its doctors told him they did not have the facilities to help. They advised him to take Mengyu to the larger Wei Fang Mou Hospital. Her parents phoned specialists there, who said Mengyu would require surgery. Her father left home shortly afterwards and the family are now in poverty. 'Even buying milk powder is a problem for us,' said Jiang. 'We are so poor that my oldest daughter asked me for 5 yuan (50p) to buy books for her class the other day and I couldn't even afford that.' She said she continued to hope that her husband would return home.","Infant's extremities have been called 'pigs' trotters' by local reporters .
Her dad vowed to find work in Binzhou City to pay for surgery for the girl .
But  he hasn't been seen since he left  home four months ago .
His family are deep in poverty and can't afford even basic medical care .",,,,,,,,,,,,,,,,
1187,2c517137535313d59466c7cc6c94cd46e98030e5,"The 99th qualifier in the field of 99 due to contest the Masters next week told Sportsmail of his immense relief that he held on to claim the last spot. Paul Casey was at home in Arizona when the matter was decided last Sunday and admitted he went through all sorts of agonies as his Augusta fate swung back and forth. The Englishman got in due to staying in the world's top 50 but at one point, as events unfolded in Morocco and at the Texas Open, he was projected to fall to 54th. Paul Casey, pictured in action last month, is the 99th qualifier in the field of 99 due to play at the Masters . 'I was very relieved and now I am just so excited,' said Casey, who made the last of his eight Masters appearances in 2012. 'On the outside looking in is hardly where you want to be for the season's first major. I've missed the whole experience.' The classy ball striker has got all the tools to do well at Augusta and showed as much when he forced his way into contention on several occasions. The 37-year-old finished sixth on his Masters debut in 2004 and actually led in 2007 after five holes of the final round. He then called a penalty shot on himself at the sixth after his ball moved a fraction when he addressed it with his putter. Casey finished sixth on his Masters debut in 2004 and actually led in 2007 after five holes of the final round . It's a stupid rule that has subsequently been changed and Casey said, smiling:'It would be nice to wind the clock back, wouldn't it? It did affect me for a few holes and I fell away (he finished 10th). But I'm going back a lot wiser and far better equipped if I got in contention again.' Casey will wrap up his preparation at the Shell Houston Open, the site of his only PGA Tour victory. Also in the field are Justin Rose, Lee Westwood and a quartet of high class Americans in Jordan Spieth, Patrick Reed, Rickie Fowler and Phil Mickelson. Meanwhile, there's still no word on whether Tiger Woods will play the Masters, although he did at least declare his intent by pitching up for a practice round at Augusta on Tuesday.","Paul Casey was the 99th qualifier in the field of 99 due to play at Augusta .
The Englishman made the last of his eight Masters appearances in 2012 .
He has the tools in his armoury to do well at the first major of the year .
The 2015 Masters gets underway at Augusta National next Thursday .",,,,,,,,,,,,,,,,
3134,5209a1f8d31f253db6ed8c440826a4b3d9a6d499,"Microsoft hopes to lure more people to use its new Windows 10 software by making it easy to use many of the same apps they're already using on Apple or Android phones. The move marks a radical shift in strategy for the world's biggest software company, which still dominates the personal computer market but has failed to get any real traction on tablets and phones, partly because of a lack of apps. The company said at its annual Build conference on Wednesday that it will release new programming tools for software developers to rapidly adapt their Apple and Android apps to run on devices that use the new Windows 10 operating system coming late this year. Scroll down for video . Microsoft hopes to lure more people to use its new Windows 10 software by making it easy to use many of the same apps they're already using on Apple or Android phones. Pictured:  Microsoft CEO Satya Nadella delivers his keynote address at Microsoft Build in San Francisco, . New operating system will run on the 'broadest types of devices ever'. Various app stores merged into one platform, called the One Store. Return of the Start Menu, which had been removed from Windows 8. Users can create multiple desktops to keep things organised. Microsoft also announced a new name for the web browser that it plans to offer with Windows 10. The company promises its new 'Edge' browser is faster and more useful than the Internet Explorer that Microsoft has offered for the last 20 years. The tech giant is making its case for Windows 10 before an army of software developers who may be crucial allies in its campaign to build enthusiasm among consumers for the next version of Microsoft's flagship operating system, coming later this year. 'Our goal is to make Windows 10 the most attractive development platform ever,' Microsoft executive Terry Myerson told an audience of several thousand programmers and app developers. While Microsoft has already previewed some aspects of the new Windows, a parade of top executives is using the Build conference to demonstrate more software features and app-building tools, with an emphasis on mobile devices as well as PCs. Ultimately, they're hoping to win over people who have turned to smartphones and tablets that run on rival operating systems from Google and Apple. During the three-day conference, Microsoft is also expected to show off new Windows smartphones or other devices and reveal more details about such tech initiatives as the company's new Spartan web browser; its Siri-like digital assistant known as Cortana; and the HoloLens, a futuristic 'augmented reality' headset that projects three-dimensional images in a wearer's field of vision. But perhaps most importantly, this year's conference is an opportunity for Microsoft to persuade an audience of more than 5,000 techies and independent programmers that it's worth their time to create new apps and programs for Windows 10. Experts say Microsoft needs a rich variety of apps if it wants to appeal to people who are increasingly using mobile gadgets instead of personal computers. A woman wearing a HoloLens demonstrates how the technology can be used to test and develop robotics at the Microsoft Build conference in San Francisco. Internet Explorer, which was first called Windows Internet Explorer, was first released as part of the add-on package Plus! for Windows 95 in 1995. Internet Explorer was one of the most widely used web browsers, attaining a peak of about 95 per cent during 2002 and 2003. However, it struggled in the face of competition, and in May 2012 it was announced that Google's Chrome overtook Internet Explorer as the most used browser worldwide. The brand has struggled to shake off the bad reputation of Internet Explorer 6, which was notoriously insecure. 'Getting developer buy-in is absolutely the crucial thing,' said J.P. Gownder, a tech industry analyst at Forrester Research. He said Microsoft has struggled with a 'chicken-and-egg' problem, in which developers have been reluctant to build mobile apps for Windows because relatively few people use Windows phones and tablets. Microsoft hopes it has solved that problem by designing Windows 10 so it's easier for developers to build 'universal' apps that work on a variety of Windows devices, from phones to PCs and other gadgets, Gownder said. Currently, there are more than 1.4 million apps for Android phones and about the same for Apple devices, while there are only a few hundred thousand apps that work on Windows phones and tablets. The company also has a big carrot to wave in front of those developers: Microsoft has already said it will release Windows 10 as a free upgrade to people who now have PCs or other gadgets running the previous two versions of Windows, provided they upgrade in the coming year. The offer could create a huge new audience of Windows 10 users in a relatively short time, Gownder said. Myerson predicted there will be a billion devices using Windows 10 - from PCs to phones, tablets, gaming consoles and even holographic computers - within the next two to three years. Microsoft has not said exactly when Windows 10 is coming, and some analysts are hoping the company will announce a release date at the conference, along with details about how it will distribute future upgrades. CEO Satya Nadella and other executives have hinted they'd like to move away from the old notion of selling each new version of Windows as a separate product. Microsoft's had early success in selling its Office productivity software on a subscription basis, in which customers pay an annual fee to use programs like Word, PowerPoint and Excel. A man demonstrates a device using Windows holographic technology during the Microsoft Build conference . Nadella is presiding over a major overhaul of a company that once dominated the tech industry, in the days when PCs were king. He has redesigned some of Microsoft's most popular programs for mobile devices and invested in new 'cloud-computing' services, in which businesses pay to use software that's housed in Microsoft's data centers. Microsoft still relies heavily on selling traditional software for PCs and corporate computer systems. But its latest quarterly earnings report, issued last week, offered some signs that the decline in that business is slowing, while Microsoft's cloud-computing business is growing rapidly. The news drove Microsoft's share price up 10 percent in one day. The stock has continued to rose, trading as high as $49.13 on Wednesday - within a dollar of its 52-week high.","New programming tools can rapidly adapt Apple and Android apps .
Firm also revealed new browser to replace IE will be called Edge .",,,,,,,,,,,,,,,,
4242,0c789b6ef029a636577a8463bdef99fe0f96ca4a,"It looks as though everything is going swimmingly for Floyd Mayweather Jnr as he continues his Manny Pacquiao mega-fight preparations. Mayweather Jnr caused a splash as he took to the pool before completing a few lengths as his trainer looked on during his Sunday session. The video posted to his Instagram also shows the 38-year-old boxer testing his muscles against the resistance of the water as he continues his impressive training routine. Floyd Mayweather Jnr took to the swimming pool to continue his mega-fight preparations . The boxer enjoyed a few laps of the swimming pool before doing some underwater resistance training . Mayweather Jnr continued his pre-fight preparations by doing a few lengths of a swimming pool . Mayweather Jnr's trainer looks on as the boxer finishes his swimming routine ahead of mega-fight . On Saturday Filipino-fighter Pacquiao tested his fitness against the steepness of some mountain roads. It is now less than a month until both boxers meet in Las Vegas for what is being dubbed as the richest fight in boxing history. The fight on May 2 is expected to break the pay-per-view record of $152million set by that fight in 2013, and is also expected to surpass the 2.5 million buys that Mayweather's fight against Oscar De La Hoya accumulated in 2007. Manny Pacquiao trains with his team at Griffith Park in Los Angeles, California ahead of the mega-fight . Pacquiao and his team do some stretches after climbing to the mountain's summit during a training sessio . Pacquiao took to the mountains as he prepares to take on Floyd Mayweather Jnr in May .","Floyd Mayweather Jnr hit the swimming pool as he continued his training .
Boxer did laps of the pool as well as water resistance muscle work .
Mayweather Jnr is training ahead of mega-fight with Manny Pacquiao .
It is now less than a month before boxing duo meet in Las Vegas .",,,,,,,,,,,,,,,,
10789,a7932385bf48fad850d425448170a1a8af740638,"Announcing your big vacation on Facebook or posting a series of beach-selfies while you're away can be the highlight of a holiday for some. But sunseekers are being warned that it could also invalidate their home insurance if they get burgled while they are away. Insurers are increasingly checking people's social media accounts following a break-in to see if they announced they would be away from the property, and are using it as a reason not to pay out. Holidaymakers who announce they are going on a two-week trip or regularly post selfies from the beach on Facebook while they are away could find their insurer refusing to pay out if they are burgled . This is because most insurers have a 'reasonable care' clause, meaning firms don't have to offer up cash if they can prove people weren't careful enough in protecting their possessions. In the past this was used in cases of burglary where doors or windows were left unlocked or open, but increasingly it is being used against holidaymakers who advertise their vacation online. Police forces have repeatedly warned that would-be thieves will check social media to see whether property owners have said they will be away, before striking while nobody is home. According to The Sun, families that post pictures of themselves on sun loungers, or announce they are on the first day of a two-week trip could be deemed to be helping criminals. Most firms include 'reasonable care' clause in contracts, meaning they are not liable if people did not protect their property, and are now using against people who advertise breaks online . Police have repeatedly warned that would-be thieves will often check social networks in order to establish that people are out of their homes before striking . A spokesman for the Financial Ombudsman Service said: 'It's possible that your insurance cover could be affected if you explicitly announce your plans on social media. 'You wouldn't put a poster up on your front lawn saying you're going on holiday.' The Association of British Insurers also warned home owners to 'think carefully about what you put on social media'.","Insurers often check accounts of those burgled while they were away .
Can refuse to pay if people advertised the fact that they would be out .
Association of British Insurers advises being careful with gets posted .",,,,,,,,,,,,,,,,
1065,b0a173afb5cb7ad59836b7db276b1bb32783c1d5,"Forget sober black and charcoal grey. Pink is the new colour of choice for high-achieving women in the world of politics and showbusiness and the style is now spreading to the high street. Those championing pink include Christine Lagarde, the first female chief executive of the International Monetary Fund, and Plaid Cymru's Leanne Wood, who chose a bright shade of the colour  for her live election debate last Thursday. The pair are among a host of powerful women reaching for different shades of pink, according to The Sunday Times newspaper. Scroll down for video . Christine Lagarde, the first female chief executive of the International Monetary Fund, left, in a pink Chanel suit and Plaid Cymru's Leanne Wood, right, chose hot pink for her live election debate last Thursday . The sudden rise in use among powerful women is said to be down to the way that the colour is perceived - it used to be a girly but is now considered an appropriate shade to wear to a business meeting. In an interview with the newspaper the managing director of image consultants Colour Me Beautiful, Veronique Henderson, said: 'Pink was for a long time viewed as a girlie colour. It was seen as romantic, not serious in business, but that has changed.' Style icon Samantha Cameron is also a big fan of the colour - she chose a pale dusty pink silk top on the campaign trail for the local and European elections last May. Meanwhile, on daytime television both Lorraine Kelly and Ruth Langsford can regularly be seen in pink dresses while presenting their ITV TV shows. Samantha Cameron opted for  a pale dusty pink silk top on the campaign trail last May . ITV presenters Lorraine Kelly (left) and Ruth Langsford (right) have both been seen wearing different shades of pink . From left: Holly Willoughby, Katherine Jenkins and actress Scarlett Johansson are among the latest celebs sporting pink . Last month Holly Willoughby was pictured arriving for a recording of the TV show Celebrity Juice in a pastel pink knee length coat, and both Katherine Jenkins and Scarlett Johansson have favoured hot pink for recent appearances - Katherine for a recording at ITV's studios in December and Scarlett at the MTV movie awards last week. The high street is responding to the demand for pink with Topshop, Next, H&M and Marks & Spencer all featuring pink in their spring and summer collections. Belinda Earl, M&S creative director told the Sunday Times: 'Pink can create a powerful daytime to evening look and can be styled in multiple ways to remain feminine without being overly girlie.'","Holly Willoughby, Katherine Jenkins and Samantha Cameron all wear pink .
Spring/summer collections are awash with different shades of the colour .
According to experts, stronger pinks show confidence, energy and power .",,,,,,,,,,,,,,,,
6677,2ac340f81199e50f55cca47c6fafba2833cd5a2b,"Former Manchester United midfielder Quinton Fortune claims Neymar looked a shadow of his former self during Barcelona's slender 1-0 La Liga win over Celta Vigo. Barcelona ensured they remained four points clear of title rivals Real Madrid by scrapping to a hard-fought victory over mid-table outfit Celta Vigo. However despite the win, Fortune insists Barcelona boss Luis Enrique should be concerned by Neymar's body language during the La Liga encounter. Quinton Fortune claims Neymar looked uncomfortable during Barcelona's 1-0 win over Celta Vigo . Neymar, pictured with fellow Barcelona superstar Lionel Messi, struggled to impress against Celta Vigo . The Brazilian forward has failed to hit the back of the net in his last four games for Barcelona . Fortune, speaking on Sky Sports, said during the interval of Barcelona's match at Balaidos: 'Neymar has not been himself for the last couple of weeks. 'You expect Neymar to at least hit the target [when he shoots at goal]. His body language does not look right.' Neymar's last league goal came against Levante on February 15 and he has failed to hit the back of the net in his last four games in a Barcelona shirt. Fortune, who himself played in Spain during his time at Mallorca and Atletico Madrid in the 1990s, went on to praise Barcelona for having a plan B when it came to breaking down Celta Vigo's resilient defence. Jeremy Mathieu (right) heads home in the 73rd minute to hand Barcelona a 1-0 lead against Celta Vigo . Celta Vigo goalkeeper Alvarez Conde (right) is unable to stop the powerful header from Mathieu . He added: 'The win is very important for the whole team. It was a bit of quality. That is what happens when you do not score against Barcelona when you are on top. 'Barcelona have been playing nice football for years but it seems like they are now capable of scoring from set pieces. 'Barcelona are not playing well and still getting results. They did the same thing against Real Madrid because I thought Madrid were the better side but they have the know-how.' Enrique's side claimed all three points thanks to a close-range bullet header by Jeremy Mathieu in the 73rd minute. Gerard Pique (right) and Sergio Busquets join the French defender in celebrating Mathieu's second-half goal .","Neymar struggled to impress in Barcelona's slender win over Celta Vigo .
Quinton Fortune has questioned why Neymar's form has dipped .
Neymar has failed to score in his last four games for Barcelona .
Fortune heaped praise on Barca for being able to scrape vital win .",,,,,,,,,,,,,,,,
5821,bebd06c7c9c4fdc89581ccad26a91162c962bf8e,"A high-flying Tory MP has been ordered to remove 'interfering' tweets that risk derailing a murder trial amid claims he was exploiting the case to 'win votes'. Richard Graham, who is fighting to retain the marginal seat of Gloucester, faces contempt of court proceedings if he fails to obey an order by the High Court to take down the Twitter posts. At an extraordinary pre-trial hearing, the Old Etonian former diplomat was accused of posting the tweets to 'ingratiate himself' with voters by 'whipping up local feeling' about the forthcoming case concerning the killing of a teenager. Richard Graham, who is fighting to retain the marginal seat of Gloucester, faces contempt of court proceedings if he fails to obey an order by the High Court to take down Twitter posts a court case . Zac Evans, 19, was killed in a machete attack outside a pub in Gloucester in January while apparently trying to protect a group of girls. The trial, due to take place in June, was originally set for Bristol Crown Court, 30 miles from Gloucester. But after Mr Graham called for it to be moved during an exchange in the House of Commons and wrote to the Lord Chief Justice, it was transferred to Gloucester Crown Court. It was later switched back to in Bristol following objections that Gloucester would struggle to stage such an emotive case. Zac's family said they preferred the case to be heard in Bristol. The High Court heard concerns by defence lawyers that Mr Graham may have used his political influence to try to get the trial switched from Bristol. They also argued that a number of his Twitter posts could prejudice the trial if not removed from his Twitter account. Zac Evans, 19, was killed in a machete attack outside a pub in Gloucester in January while apparently trying to protect a group of girls . Barrister Stephen Kamlish QC, acting for the defendant in the murder trial, said in court that Mr Graham's tweets were a 'clear attempt to win votes by ingratiating himself with his electors', the MP was 'potentially out of control on the issue' and if he refused to remove his tweets or added to them, the defendant may not get a fair trial. Mr Justice Hamblen ordered Mr Graham to remove the tweets 'as soon as reasonably practicable', and to say nothing more that could prejudice the trial. Mr Graham insisted he was right to speak out about the trial arrangements, but refused to discuss his tweets, which he said had been removed. On the suggestion that he had used the trial for electioneering, he said: 'That's rubbish. 'For an MP not to say anything about an event which filled the cathedral [for Zac's funeral]... no MP is going to sit there and say nothing.' A spokesman for the judiciary said: 'The presiding judge for the area, in consultation with the resident judge, felt it was appropriate to try this case in Gloucester. 'Both have made it clear the letter from Mr Graham did not influence their decision.' Sorry we are not currently accepting comments on this article.","Case about Zac Evans, killed in machete attack outside pub in Gloucester .
Tory MP accused of posting the tweets to 'ingratiate himself' with voters .
Trial set for Bristol but Graham got it changed to Gloucester constituency .
Later switched back and Old Etonian was ordered to remove the tweets .",,,,,,,,,,,,,,,,
5470,91b7d2311527f5c2b63a65ca98d21d9c92485149,Dougie Freedman is on the verge of agreeing a new two-year deal to remain at Nottingham Forest. Freedman has stabilised Forest since he replaced cult hero Stuart Pearce and the club's owners are pleased with the job he has done at the City Ground. Dougie Freedman is set to sign a new deal at Nottingham Forest . Freedman has impressed at the City Ground since replacing Stuart Pearce in February . They made an audacious attempt on the play-off places when Freedman replaced Pearce but have tailed off in recent weeks. That has not prevented Forest's ownership making moves to secure Freedman on a contract for the next two seasons.,"Nottingham Forest are close to extending Dougie Freedman's contract .
The Forest boss took over from former manager Stuart Pearce in February .
Freedman has since lead the club to ninth in the Championship .",,,,,,,,,,,,,,,,
